comment,rating
"這家店以家庭式經營為特色，
老闆娘非常客氣且服務態度極佳。
店內環境清潔整潔，提供免費白飯，旁邊還有可加入的肉燥，
店家所供應的兩種飲料也很好喝，不會稀釋過度。
滷鴨血更是入味可口，價格平價份量足夠。
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200",5
"我點的是牛奶鍋，有三塊豬肉片，火鍋料很少，鍋的湯頭牛奶味不濃，喝的時候感覺不到奶味...價錢偏貴
餐點：1
服務：4
氣氛：4",3
"場所乾淨，擺飾明確，老闆客氣
價格親民。很推薦，也還會再來❤️
我點白醬雞肉燉飯，沒想到菜這麼多，肉也很嫩。",5
義大利麵和燉飯好吃（蔬菜好多）不輸給簡餐店，價錢親和，CP很高！小火鍋料很實在，重點是老闆和老闆娘很親切！飲料、白飯（滷肉）和冰淇淋免費自助（為什麼極力推薦，因為覺得那麼棒的一間店太少人知道太可惜了）大力推薦！,5
"可能因為住宅的關係，人不多
但這個價格已經很少見了，是一對可愛的老夫妻開的，該有的都有我覺得還不錯啊，推推！
餐點：5
服務：5
氣氛：5",5
"南瓜牛奶鍋，牛奶香醇濃郁，吃得到真的南瓜；麻辣鴨血鍋食材豐富，不用加點就可以吃得很飽了；最後還有多種口味的小美冰淇淋可選擇，最後是老闆及老闆娘服務親切熱情，讓人覺得在自己家吃飯一樣，舒服自在。
服務
內用
餐點類型
晚餐",5
好停車，用餐環境乾淨整潔，舒服,4
"老闆服務很好，火鍋湯頭很好喝，價格滿親民的~
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點
香濃牛奶鍋",5
服務親切，滷肉醬、飯、冰淇淋、飲料自助式。第二次來吃了～,5
"有提供白飯、肉燥、飲料、醬料、冰淇淋、白開水無限吃。
老闆娘跟老闆態度也非常好，上餐速度也很快，環境乾淨舒適，也很方便停車
服務
內用
餐點類型
晚餐",5
"這間小火鍋真的便宜又好吃
希望多一點人來支持🥲
CP值太高了，非常喜歡♥️
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"乾淨衛生，蔬菜新鮮 火鍋與肉品也不會有冷凍味，冰.飲也不錯。
小缺點：豆瓣醬偏鹹了
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
平價、物美價廉，120元有火鍋、飲料、冰淇淋、從台中來的我有驚艷到,5
量適中但口味偏鹹，食材豐富有免費白飯、飲料、冰淇淋，適合重一點口味的人,4
"很家庭感的店，東西好吃CP值超高。
老闆老闆娘有夠親切！
有冷飲、冰淇淋、滷肉飯
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200",5
上週農機展參觀完中午來這用餐挺好的，白飯與滷肉可以吃到飽,4
麻辣鴨血很好吃 有用心的一家店  老闆親切,5
看了評價特別跑過去。其實就跟XX絕口小火鍋類似，沒看到有玉米濃湯跟水餃，就真的普通的火鍋店，除非住得近，不然應該不用特別跑一趟去吃。優點就老闆&老闆娘很熱情、下午非用餐時間也都可以過去吃。,3
