comment,rating
"好吃的壽司，貼心的服務，還可以幫小孩客製化單點肉鬆細卷和魚卵細卷！
值得一再購買。
來不及拍就被嗑成這樣了…",5
這間壽司店就是便宜然後不難吃但是不會在腦海留下印象,3
"壽司口味普通，不過在虎尾競爭激烈的市場中，不失一個可以快速享用的選擇。
大眾化的口味，價格適當符合其食物品質。但御飯團口味雖多，但捏製較為鬆散，不夠紮實。手卷採用有隔塑膠袋的包裝，好處是方便保存而維持海苔脆度，但手卷反而因此不好開造成餡料與海苔分開。
蒸蛋好吃，很值得品嚐，前來必買。而且很多東西現點先做，耐心等待新鮮送上。",3
"外帶壽司很方便，選擇豐富多樣，一個人到多人壽司都有，感覺蠻不錯，平價價位，口味大眾還算可以，醋飯偏黏不過我蠻喜歡的，還有附好喝的味增湯！

(補充)家庭餐盒2~3人食用，可以吃得相當滿足，同樣會附味增湯呢。",4
壽司好吃，茶碗蒸也很美味,5
"疫情外帶回家的好選擇，電話預約好過去取餐很快速
服務
外帶
餐點類型
晚餐",4
"普通的外帶壽司
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200
餐點：4
服務：4
氣氛：4",4
品質跟以前差很多。料變少、米飯也軟爛....。我是覺得不好吃啦⋯⋯,4
"家庭分享餐+豆皮壽司，點兩樣都好吃
份量足，三個人吃到飽👍 …",5
看起來就很好吃 而且價位ok,4
"用心的店家，推薦給大家👍
餐點：5
服務：5
氣氛：5",5
"壽司好吃，價格實惠
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：4
服務：4
氣氛：3
建議的餐點
綜合壽司",4
壽司價格中間，茶碗蒸一個40，但很大一個！！！常常買來當午餐吃,5
"壽司選擇多 很好吃
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
綜合壽司",5
"味噌湯雖然是送的但很難喝...直接倒掉
壽司飯很糊 料少 口味普通 價格蠻高的",1
多元化且豐富的壽司便當，醋飯Q彈好吃，用料實在，完全不輸其它連鎖店，茶碗蒸綿密好吃，鹹度剛好，也是我的最愛也超推！👍😄值得一試 …,5
"豆皮壽司味道濃郁
海苔壽司口味偏甜
已經回訪多次
花壽司比較普通
買壽司免費贈味噌湯
但湯不太好喝",5
"下午沒什麼店能夠吃的時候 這間店不失為一種好選擇
飯糰吃起來比小七好吃 買兩個飯糰會送碗味噌湯
價錢也不會太貴",4
豆皮壽司和肉鬆細卷超級好吃，價格實惠，非常適合炎熱無胃口的夏天,5
已經排到在點餐了，後到的人竟然可以先處理她的，不理我。乾脆不買了，而後也不買了，反正也不差顧客。,1
好吃又衛生 衛生很重視這家可以,5
用料、價格實在，餐點美味，有經過都會買,5
飯類的份量多價錢也還可以，但是不趕時間在來吃不然會等到懷疑人生,2
"好吃
服務
外帶
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：4
服務：4
氣氛：4
建議的餐點
綜合壽司",4
價格›味道›服務態度，臭臉的客服讓我絕不會再去了。,1
三角御飯團口味選擇很多，平價美味的壽司店！,5
平價的壽司，茶碗蒸還不錯吃,4
沒什麼特殊感覺。跟買麥當勞差不多那樣,3
種類很多，東西還不錯吃，價格中等,4
平價壽司裡最好吃的,5
"壽司還不錯吃
服務
外帶
餐點類型
午餐",5
一試成老主顧。大大大推,5
還不錯吃,4
"食物用心
待客熱情",5
餐點讚,5
喜歡紫米壽司,4
平價美味～,5
好吃平價,5
價錢中高,3
普通,3
讚,5
好吃,5
食材新鮮,4
很好，很合作。他們根據您的需求重新安排了菜單。,3
,5
,5
,3
,5
,4
,4
,5
,4
,3
,5
,5
,5
,4
,5
,5
,5
,5
,4
,4
,3
,3
,4
,4
,4
,5
,5
,5
,3
,4
,4
,5
,5
,3
,5
,5
,3
,4
,5
,5
,3
,5
,5
,3
