comment,rating
"餐點非常美味～服務態度一極棒！
會想再二訪的無菜單料理餐廳～👍👍👍
餐點：5
服務：5
氣氛：5",5
"服務態度很棒👍 無菜單料理就是會讓人很期待下一道菜 而且這邊的每一道菜 都很驚喜 擺盤漂亮之外 食物也很好吃 印象最深刻就是紫米飯配上水果和鰻魚 這個味道很特別 很喜歡 💜
服務
內用
餐點類型
晚餐
平均每人消費金額
$1,200-1,400
餐點：5
服務：5
氣氛：5",5
"整體上我覺得還算不錯、食材不算高檔 但菜色搭配豐富、沒有過度料理口味較為清淡、但還蠻好吃的😋、而且一定會飽。老宅改造 蠻有獨特風格、以懷舊風為設計取向、營造舒適的用餐環境👍喜歡～雲林人有口福了
餐點：5
服務：5
氣氛：5",5
"每一道菜都非常好吃～蝦子焗烤讚讚讚！服務態度很好唷～
餐點：5
服務：5
氣氛：4",5
"小小的餐廳、大大的溫暖，餐點用心製做，服務態度也很棒，服務生很仔細介紹每樣餐點，真的道道是主菜，最喜歡龍膽石斑湯品，鮮甜滿溢。
餐點：5
服務：5
氣氛：5",5
"用餐體驗非常好
餐點看起來份量不大但吃起來非常飽
食材很新鮮而且搭配很特別
印象最深刻的是水果跟紫米、鰻魚的搭配
本來很擔心會難以接受但吃了卻非常搭非常好吃
魚湯超級好喝魚肉也很Q
除了最後一道蕈菇魚的調味偏淡
其他都非常棒
甜點也超級好吃
會再二訪！
服務
內用
餐點類型
晚餐
平均每人消費金額
$1,200-1,400
餐點：5
服務：5
氣氛：5",5
"創意跟擺盤不一樣，醬汁一般沒特色，有些食材要改進一下，雖然是配菜，好不好吃也很重要的，加油，有進步空間💪
服務
內用
餐點類型
午餐
平均每人消費金額
$1,200-1,400
餐點：3
服務：3
氣氛：3",3
"非常有氣氛的一間餐廳，重點餐點也非常好吃！是一家會想再度二訪的一家餐廳🥰
餐點：5
服務：5
氣氛：5",5
"醬汁沒什麼味道 也太濃稠 跟鮑魚不太搭 鮑魚也只是簡單煮過沒有其他調味， 一個人均一千多 食材沒有到很好.. 主菜的牛肉份量不多沒關係還有點柴 再附上那個意義不明的蘑菇醬 我還寧可加鹽就好 但前提是要嫩 一塊牛肉咬好幾口才吞的下去 希望可以改進  魚肉算好吃 食材整體算新鮮 但是cp值沒有到很高 整體環境跟服務還不錯 但是餐點就真的沒什麼記憶點 總而言之 華麗的擺盤 平凡無奇的味道
餐點：2
服務：4
氣氛：4",2
"精緻又精美的新鮮美食，難怪只收預約客人，推薦大家一定要來試試吃吃，棒又讚唷
餐點：5
服務：5
氣氛：5",5
"第一次看到無菜單料理很新奇，大門是個冰箱門，很特別，有七種菜色，非常好吃試營運1399後面就要1599所以要吃要趕快喔！！
服務
內用
餐點類型
其他
平均每人消費金額
$1,400-1,600
餐點：5
服務：5
氣氛：5",5
"環境舒適，裝潢很特別，尤其門是冰箱的造型，非常特別
餐點體驗佳，推薦給各位
服務
內用
餐點類型
早餐
平均每人消費金額
$1,200-1,400
餐點：5
服務：5
氣氛：5
特殊餐點
鰻魚紫米飯",5
"環境舒服，服務很好很親切，餐點很不錯，推薦大家
服務
內用
餐點類型
晚餐
平均每人消費金額
$1,200-1,400
餐點：5
服務：5
氣氛：5",5
"服務親切餐點好吃，每一道餐點都沒讓人失望，很喜歡，大推
餐點：5
服務：5
氣氛：5",5
"試賣期間造訪，原價1599，特價1399！環境很好，服務也不錯！共七道菜，擺盤精緻，不過每道菜的水平不一，上菜內容（有二道煎魚）也出乎預料🤣建議再斟酌這樣的消費能呈現怎樣的內容讓饕客驚艷，覺得值得喔！
服務
內用
餐點類型
午餐
平均每人消費金額
$1,200-1,400
餐點：4
服務：4
氣氛：5
停車場
餐廳旁邊有收費停車場，收費超貴！朋友停了二小時多一點吧，200元！",4
"👍無菜單創造料理～來嚐鮮囉🥳
服務
內用
餐點類型
晚餐
餐點：5
服務：5
氣氛：5",5
"預約制，來的時候沒有任何一組客人，算包場吧！安安靜靜的吃飯，一進來阿姨服務超好👍🏻餐點好吃，但餐具要注意一下有灰塵..
服務
內用
餐點類型
晚餐
平均每人消費金額
$1,200-1,400
餐點：5
服務：5
氣氛：5",5
"服務態度一級棒.餐點很特別
餐點：4
服務：5
氣氛：5",1
"非常好吃！
老闆的用心在餐點上吃得到，
最喜歡鰻魚與水果、紫米的那道組合，
服務人員也非常重視顧客的需求，
服務品質很棒～🩷🩷🩷🩷
餐點：5
服務：5
氣氛：5",5
"每一道都很好吃 ~ 最喜歡鰻魚配水果紫米。但對我來說份量實在太大，希望能有4-600元較低價位小份量的選項，也對小資年輕人較友善 !
餐點：5
服務：4
氣氛：5",5
"服務非常棒
服務
內用
餐點類型
晚餐
平均每人消費金額
$1,200-1,400
餐點：3
服務：5
氣氛：5",5
"食材新鮮！擺盤就像一幅畫
餐點：5
服務：5
氣氛：5",5
"份量滿多的，東西也很精緻非常好吃😋
餐點：5
服務：5
氣氛：5",5
"員工服務態度超級讚(⁠◍⁠•⁠ᴗ⁠•⁠◍⁠)
無菜單料理真的有一個拆驚喜包
滿滿的驚喜感
推薦~~(⁠*⁠ﾉ⁠・⁠ω⁠・⁠)⁠ﾉ⁠♫
服務
內用
餐點類型
午餐
平均每人消費金額
$1,200-1,400
餐點：5
服務：5
氣氛：5",5
"餐點新鮮好吃，七道菜都能吃到不同的原味，每道菜都是驚喜👍
服務
內用
餐點類型
晚餐
平均每人消費金額
$1,200-1,400
餐點：5
服務：5
氣氛：5",5
"菜色有創意，海鮮新鮮，服務又好，環境很好路口處竟然是冰箱好友創意好好玩喔👍👍🥰
餐點：5
服務：5
氣氛：5",5
"餐點好吃，服務好
氣氛也很不錯喔😋
服務
內用
餐點類型
晚餐
平均每人消費金額
$1,400-1,600
餐點：5
服務：5
氣氛：5",5
"好吃,服務很親切
餐點：5
服務：5
氣氛：5",5
"菜色很精緻. 服務人員親切. 不錯～值得推～
餐點：5
服務：5
氣氛：5",5
